反射回数,光路長(m),位置x(mm),位置y(mm)
0,0,8.56,-5.35
1,0.05850011402194395,15.243264651277787,1.333264651277787
2,0.12255932668853133,-15.754686106077838,5.248472479342903
3,0.18135033246173504,-7.783126298698898,-3.488874872209811
4,0.24389496473887207,19.34313730777899,-4.0831137791846945
5,0.3050718600762797,-1.3954601681212822,5.301262390699977
6,0.36494698156450756,-18.51812758438091,1.8038908880027948
7,0.42849945445061344,10.194593325170818,-6.47347447168069
8,0.48687187186652314,13.584915753913297,1.0387238772332186
9,0.550699104656538,-16.577711838790417,6.616501377199713
10,0.6100333457138417,-5.739207863974457,-3.8857091271782007
11,0.671845189156439,19.113422256699277,-5.267279978506188
12,0.7337787864021124,-3.324544532401603,6.352166705760203
13,0.7930758843019913,-17.28390643274846,2.438711997540657
14,0.8569166093805256,11.530643688630477,-7.961156557456767
15,0.915384027863453,11.698055196681352,1.1329060181685042
16,0.9787565291299455,-16.97063425136135,8.143663671179535
17,1.0388008504212958,-3.6827584970105516,-4.745794622062036
18,1.0998136764223467,18.41411137318969,-6.346074661154415
19,1.1624619358846677,-5.040203384080737,7.832474883587849
20,1.2213360139084302,-15.683370925692767,2.7581347703474366
21,1.285237903355252,12.475299039462104,-9.729103585374364
22,1.3440435315262236,9.652994301173758,1.664565752756527
23,1.406748483528549,-16.860868921727814,9.69312857996666
24,1.4676294320725591,-1.7192126732571698,-6.0644214654334
25,1.5278449096420843,17.229964217277264,-7.186208498856742
26,1.591089832553974,-6.433960092287457,9.672024453184804
27,1.6497554805904227,-13.772548651093224,2.6770647161119756
28,1.7134512147089802,12.936411252319516,-11.636443470973184
29,1.7728380190526651,7.556614563000484,2.6594491992374962
30,1.8347052416054146,-16.201321455277842,11.089441150727033
31,1.8964777205305687,0.026594163471685306,-7.790819883866316
32,1.9559846585781948,15.598254782669663,-7.654238958764351
33,2.0196241161161623,-7.400565308275542,11.739732531802565
34,2.078341788113163,-11.66245356597155,2.1333773430291494
35,2.1415547347911676,12.84831996530993,-13.487516737652456
36,2.201728379262982,5.5507057495407155,4.097457636108487
37,2.2626715048591937,-15.00625269509574,12.147785672179022
38,2.325288003205147,1.4289665492113457,-9.813108679426467
39,2.384265937384723,13.632291655291453,-7.646243419097926
40,2.448028839768317,-7.863985823773849,13.84632215828321
41,2.507072104227376,-9.516625821505885,1.112062140520365
42,2.5695669884995493,12.206445541781308,-15.067127166481814
43,2.630650912060971,3.789379940709807,5.897331511629492
44,2.6906968260255772,-13.378328743785591,12.72094874453814
45,2.7539980162907898,2.3916412889245926,-11.96512303650731
46,2.812695288016743,11.515698197079073,-7.1171478907945405
47,2.876285791672522,-7.8059128395377595,15.779900742977457
48,2.935895610761178,-7.520153061295595,-0.3398537073380048
