反射回数,光路長(m),位置x(mm),位置y(mm)
0,0,3.14,-5.63
1,0.06109199504599924,10.11937051565078,1.3493705156507803
2,0.12368148007589626,-7.963875986476799,5.13448847438076
3,0.18465990881349045,-6.328579822353164,-3.6903104403615483
4,0.24698067958752784,10.932736279836579,-3.5334639282707476
5,0.3085424717354286,1.1110631017205552,5.299197886369135
6,0.37011077952230953,-11.402484878397685,1.091606108922507
7,0.432430592129021,4.346085541483065,-5.877422307054026
8,0.4934210331877702,9.30599264764844,1.640634035062444
9,0.5559995874466297,-8.768923916579284,5.264614203809376
10,0.6170968908014522,-5.131511651608224,-4.048796343140641
11,0.6792183183299233,11.150205809680191,-3.4836822350920427
12,0.7410149051492,-0.19262685214216724,5.662923760278194
13,0.8023717933407619,-10.989694215672436,0.854612905773033
14,0.8648321844120985,5.4484382667909195,-6.165616225705022
15,0.9257860153080497,8.369601992789695,2.0152929724307365
16,0.9882864311084719,-9.408181643996345,5.387897698755001
17,1.0495563000758776,-3.8916273765935703,-4.491297479340357
18,1.1114518413150598,11.18047308654207,-3.3805350035004054
19,1.1734773591063479,-1.4489524019834388,6.089021702648118
20,1.2346602082208242,-10.415576428108718,0.5354254554499533
21,1.2972004744873684,6.423276769399948,-6.47390242059858
22,1.358186315966137,7.33615351152377,2.481214135992457
23,1.4205476040095333,-9.870176736664218,5.478564166829206
24,1.4820294712869746,-2.6396419450123085,-5.0140037656448575
25,1.54369195507411,11.02818980883412,-3.2015623232205384
26,1.6059205599668613,-2.6292320036111185,6.561881214960841
27,1.6669820633494994,-9.69983954584825,0.12046521158550938
28,1.7295339141210562,7.2506565033304895,-6.777822072294434
29,1.790618308064156,6.234365330372823,3.04111852202022
30,1.8527911875576544,-10.149086037247665,5.510248646275187
31,1.914506419798813,-1.4063581246858874,-5.607460306316771
32,1.9759490513931246,10.704182438183066,-2.927132125347848
33,2.038336655876351,-3.7073307845137435,7.0609645734968804
34,2.0993405538325534,-8.866697148511001,-0.3991795691643585
35,2.1618340170301686,7.915359330946906,-7.0501842678474675
36,2.223075586073369,5.094719452606017,3.69213620939009
37,2.2850271535211193,-10.245367415398352,5.457589218322358
38,2.3469766302983652,-0.2215324812380235,-6.256612409388824
39,2.408232200288502,10.225280478874483,-2.5416587155645107
40,2.470719969705173,-4.660684187292992,7.561450064514597
41,2.5317356610501394,-7.943962059994439,-1.0270994953049737
42,2.594105424115856,8.407770432221481,-7.262487618702169
43,2.655549439710262,3.9482841770067925,4.425557843287146
44,2.7172664901846524,-10.166152386580364,5.297880438999613
45,2.7794299472947617,0.8873115454706557,-6.94113259254523
46,2.8405482126476853,9.613748612576604,-2.0345973148026344
47,2.9030676395643393,-5.471299534145601,8.035252412029276
48,2.9641640782196226,-6.961870604802009,-1.7611059853796984
49,3.0263556522577963,8.724652899926388,-7.386648263377227
50,3.088029558432674,2.8254068867120194,5.22685090307859
51,3.1495201216934654,-9.925256053689683,5.012606268704235
52,3.2118575028302145,1.896052057569868,-7.63608872648891
53,3.2729009046603763,8.89630173537213,-1.4011597131306557
54,3.3353800580935364,-6.126691667160863,8.452442239897273
55,3.3966194563667607,-5.951691275129661,-2.5930094971011357
56,3.4585944834220315,8.869682062321512,-7.396873150903293
57,3.5205049197826637,1.7543609616673228,6.076005674981623
58,3.5817977540444854,-9.542693086411575,4.588684599081148
59,3.6442525984616485,2.785047406777883,-8.312990121937904
60,3.7052906741440563,8.102747903110629,-0.6427265157977811
61,3.7676610125322334,-6.620678388203862,8.78300424980199
62,3.8290929570167673,-4.944209192903479,-3.5086871047634425
63,3.8908330165071234,8.853581237972847,-7.271453375007486
64,3.9529647885164563,0.7600524669130699,6.9482504533415295
65,4.014106820362503,-9.043662639493746,4.019309438781195
66,4.0766114421330055,3.540060733969254,-8.94120458658124
67,4.137714450051072,7.264368858975165,0.23305222781962698
68,4.199917444772599,-6.953926653755571,8.99877739032117
69,4.261574060061492,-3.9682051163384355,-4.488487685045653
70,4.323082488813512,8.693727634916653,-6.994247065908332
71,4.385399732477617,-0.1371074734328399,7.815134489080603
72,4.446451691588814,-8.457064818803921,3.3043490170205896
73,4.508933632071483,4.1529703219669205,-9.489673999040297
74,4.570166015845554,6.412192323086018,1.2124711610139052
75,4.632158805025331,-7.134120952506102,9.075346611557753
76,4.694051544391431,-3.049057670608227,-5.507993964542591
77,4.75535304429295,8.41317610081299,-6.5556805019525175
78,4.817802548255043,-0.9220803457806657,8.645929120574172
79,4.878833265843883,-7.813706046105362,2.450321959661534
80,4.941222290706117,4.622204133325584,-9.928782088974163
81,5.002636652686577,5.575322285537685,2.276296872745032
82,5.064396056836188,-7.175640971798413,8.993639586463392
83,5.126514538724524,-2.207585835448204,-6.539114059920228
84,5.187652648959091,8.039162164118906,-5.953197037491437
85,5.250168987814963,-1.585778120678695,9.4092495945205
86,5.3112489708651065,-7.144407552686416,1.470012605125663
87,5.373483791921412,4.95283399113097,-10.232172396275793
88,5.43511601131883,4.779473507765573,3.4005916621245387
89,5.496640476731419,-7.098696207453848,8.74103517692284
90,5.558953532496163,-1.4592156622188908,-7.5514262848068725
91,5.619986317443662,7.601257524444404,-5.191187781847978
92,5.682498190492959,-2.1253245921316664,10.074760169711528
93,5.743693138754841,-6.478231358421626,0.3817990039974415
94,5.805727093367458,5.15627196596982,-10.378303496456672
95,5.867593104896786,4.045815153078321,4.557789803934538
96,5.928902442744701,-6.927961219328701,8.311894948061132
97,5.991361242234016,-0.8135072984793119,-8.51366520700691
98,6.052355734922613,7.129419423228487,-4.280511532661808
99,6.114792756530263,-2.5440041057297673,10.614803794044132
100,6.1761576632886666,-5.840987007688483,-0.791236784279576
101,6.237962764210098,5.249540108895987,-10.351572741752891
102,6.300057314871469,3.3901790149038287,5.717950180397059
103,6.361190399827031,-6.690857560330448,7.707545630003245
104,6.423733246836813,-0.2740292286552659,-9.395222761319598
105,6.484759270441396,6.6521751040972505,-3.2377386837516795
106,6.5470584476805564,-2.8509082841303686,11.005804797015776
107,6.608632832807832,-5.254105902485671,-2.0223535791565386
108,6.670201859617423,5.254137915547048,-10.142925605813826
109,6.732499313505974,2.822639361735802,6.85008549905962
110,6.7935101314373245,-6.415699023784913,6.935829854364357
111,6.856068333607991,0.1614679050347645,-10.16754645123078
112,6.917192313516377,6.195118890317927,-2.0842400164168513
113,6.979303558241659,-3.0602926119493628,11.229330531483345
114,7.041108237482415,-4.733898187696894,-3.2822902226189203
115,7.102454813204214,5.194598929660232,-9.749965582495527
116,7.164911825977808,2.3474300993023447,7.923464002901127
117,7.225864384032514,-6.129928104177049,6.010382307685881
118,7.288368532238313,0.5006358593235429,-10.805342710966027
119,7.349647839375111,5.779803546161424,-0.8452053333215108
120,7.41153805072729,-3.1906629860249867,11.272756277316928
121,7.473573665652528,-4.2911577757660275,-4.540434129143124
122,7.534730492388906,5.0968856638251605,-9.176658795877096
123,7.597290179625604,1.963137417394612,8.90879718751016
124,7.658252819067299,-5.858621381851226,4.949778228704519
125,7.720638850947979,0.7559186301191758,-11.287529639801624
126,7.782117112300896,5.423018369529748,0.4513595985036716
127,7.843772579197258,-3.263634629402107,11.129540347497922
128,7.906019921828892,-3.931056277161622,-5.76595231881657
129,7.96703550422631,4.986796341670061,-8.432768897683989
130,8.029632614324251,1.6630987806940274,9.77926015688072
131,8.090672226950618,-5.623353999491418,3.7766572509463314
132,8.152886761304458,0.9437756665442567,-11.597920574569034
133,8.21459045425624,5.136390105961981,1.775631624745687
134,8.276017522835916,-3.3026375601472253,10.79916728335903
135,8.338439516699482,-3.6532601838063488,-6.928826526590658
136,8.399373776414839,4.888536401248752,-7.53315794330204
137,8.461940352120749,1.4359529402777604,10.51132827618017
138,8.52311693048821,-5.441424349646697,2.5168712463464944
139,8.585121500068102,1.0837558001660144,-11.725650530879335
140,8.64705802313211,4.926224267664935,3.096943579504874
141,8.708282126794195,-3.331569500581603,10.28684665507854
142,8.770827197381516,-3.4522126314137265,-8.00075640612837
143,8.831746391982161,4.823550650779547,-6.4970567392864
144,8.89421744254958,1.2663122763042898,11.08544332205161
145,8.955579318402135,-5.325378429489255,1.198661022116788
146,9.017353264832003,1.1974450063134396,-11.66537720982265
147,9.079510556661967,4.793513258234357,4.384708709581291
148,9.140573809249009,-3.3735030438291673,9.603060875699217
149,9.203180302907263,-3.317539675558208,-8.955926105785807
150,9.264151635899195,4.8096419328666595,-5.34735933991959
151,9.326470410809776,1.1355534727573917,11.486537383254491
152,9.38805046626557,-5.282749816924733,-0.1481545747930948
153,9.449592376249154,1.3073298216420177,-11.417296876610214
154,9.511940046483417,4.734060215499118,5.60927332433509
155,9.572897657737471,-3.4495326920597327,8.763040466410883
156,9.635498942317698,-3.2345682578205324,-9.771658697319191
157,9.696585213383004,4.860344838351605,-4.109947943941
158,9.75870774014696,1.0227317980224155,11.704442361764816
159,9.820520812543137,-5.315939613322475,-1.4929924566254087
160,9.881848467730277,1.4356370965916314,-10.98701502751091
161,9.944340315312015,4.7386955272455475,6.742687429296261
162,10.005256114302503,-3.5778064788630735,7.786215555061551
163,10.067785997890722,-3.184970601684503,-10.428999176670208
164,10.129040611300468,4.984494215822009,-2.8130204343646454
165,10.19093922046899,0.9056133591074733,11.734201167922095
166,10.252980860195233,-5.422187112401279,-2.805324171534993
167,10.314129749558,1.6032162726922312,-10.385304350161395
168,10.376707478511317,4.7935936300802995,7.759405188328653
169,10.437648840463082,-3.772743417076131,6.6956564657380895
170,10.500046954016682,-3.147565418056695,-10.91326413126793
171,10.561509584380778,5.185929289525157,-1.4863808577511595
172,10.623175196478547,0.76179512354578,11.576279973924702
173,10.68542187384912,-5.593614828905431,-4.0554912414900315
174,10.746442383387215,1.8285170996499076,-9.627769239624039
175,10.809040275763278,4.880727495218924,8.63694813405108
176,10.870072755354705,-4.044409365041865,5.517483786736037
177,10.932289547088844,-3.0993000160403277,-11.214575595841549
178,10.993982750679,5.463295814692213,-0.16066234914124422
179,11.055425753650264,0.5698582751789587,11.236664789440649
180,11.117836542935631,-5.817365524435898,-5.215509626306172
181,11.178789997380273,2.1266897788035015,-8.73441866310046
182,11.241340255328442,4.978518679208872,9.356571535235904
183,11.302522246058201,-4.398019158360505,4.280208502193715
184,11.364523230449029,-3.016408019970907,-11.328364538554109
185,11.426450276111193,5.809938959834607,1.1335266352082716
186,11.487699890079508,0.3104899532621337,10.726813324451296
187,11.550219582131886,-6.075881582784696,-6.259868574893531
188,11.61117337081295,2.508809965788311,-7.729131151545856
189,11.673611783005713,5.062740058290226,9.90396027724361
190,11.73498955114118,-4.833549688984956,3.013961605107495
191,11.796758457949586,-2.8756949746952087,-11.255794992557867
192,11.858902619963311,6.2139105762179145,2.366521299236071
193,11.92000473443067,-0.03248363041392022,10.063425862779876
194,11.982568237538372,-6.347402728146705,-7.166342270578646
195,12.043590316466032,2.9812215277575733,-6.638983166594337
196,12.105861837118512,5.10769787942329,10.269945254381614
197,12.167465313052748,-5.345476517373834,1.7495901250113821
198,12.229005813471375,-2.655866156782438,-11.004032284764863
199,12.291331305561936,6.658143059686917,3.510563108364014
200,12.352344880297364,-0.47119001598646193,9.267997820368198
201,12.414882656220383,-6.606764735492708,-7.916832073582405
202,12.476035785253387,3.5450008724052884,-5.493411581460478
203,12.538099551148182,5.087662187819565,10.451182956760269
204,12.599939282611437,-5.922673692759244,0.5176259193616808
205,12.661275048552792,-2.338793412829657,-10.586265774423092
206,12.72372967241495,7.120864891128974,4.54078548479702
