反射回数,光路長(m),位置x(mm),位置y(mm)
107,2.6299072129603274,-3.638207802227946,-1.1711066100047116
108,2.6546999530531186,-2.8504560312013343,-8.910102808860541
109,2.6780140077667958,0.5380620530891904,-7.957637042039616
110,2.703653520555667,3.717769705900896,1.0872163695844304
111,2.728434938336965,3.110385165885936,8.812906558695023
112,2.7517625958172234,-0.3527717006496722,7.942293624648633
113,2.7774013708444554,-3.8008840133916064,-1.0024932558109256
114,2.802169525366619,-3.372782000901499,-8.705987943341093
115,2.8255124869321517,0.16860103634263002,-7.91823921269384
116,2.851150917339258,3.8872391394825265,0.9169835278315359
117,2.8759037339721085,3.6374467016053855,8.58911759472738
118,2.899263688143228,0.014560518293394775,7.88522797204812
119,2.9249022881229725,-3.9764710554598173,-0.8307233654976836
120,2.949637587100981,-3.9040854612671554,-8.462082750943377
121,2.9730161887217754,-0.19678385794365205,-7.84303017017177
122,2.9986555818710268,4.068162209540195,0.7437389489403659
123,3.0233711110830424,4.172307166371987,8.324699700878252
124,3.0467699581548553,0.3780981215380632,7.791443302168166
125,3.072410863949964,-4.161841451986858,-0.6560466719676628
126,3.0971043358110797,-4.441622399140382,-8.176826661291813
127,3.1205249443285683,-0.5584898987731832,-7.73030373314583
128,3.146168162807535,4.25698520991693,0.567653543274429
129,3.1708372948073276,4.711445150995303,8.018376650057839
130,3.1942810720653454,0.73790381167312,7.659498464980225
131,3.2199274669024196,-4.35302014113535,-0.47855782400032876
132,3.2445700251485583,-4.98109755249333,-7.849329829488159
133,3.268038242173436,-0.916244517703082,-7.578976552886633
134,3.2936887224391285,4.449327458522779,0.38874993521774837
135,3.3183025672286077,5.249817815149303,7.669744722877172
136,3.341796331167466,1.0933801142301958,7.4887596325919885
137,3.367451832169788,-4.54524905371704,-0.29821364409825524
138,3.3920349643459455,-5.516771429852984,-7.479767668277786
139,3.415555191805589,-1.2691468448144132,-7.388950983737791
140,3.441216655495172,4.640095460561442,0.20692750397089288
141,3.4657672621152105,5.78106548191045,7.279639877760122
142,3.4893146545593305,1.4433549227707152,7.279742559854792
143,3.514983010040596,-4.733155587805362,-0.11486648429125701
144,3.5394995077146376,-6.041765736749628,-7.069701526856943
145,3.563074530086082,-1.6157952057681602,-7.161419467290798
146,3.5887506747998072,4.823708023439603,0.022003686572963588
147,3.613231748994876,6.297915940964153,6.85039241144173
148,3.6368346127130926,1.786246387136738,7.034361477499885
149,3.6625193948373087,-4.911033580308825,0.07168799216283706
150,3.6869640334873384,-6.548558592263211,-6.622248875146526
151,3.7105946848698528,-1.9544823247818224,-6.899041305544031
152,3.7362888874259914,4.99442862785656,-0.1662344092416479
153,3.7606964073604185,6.792756281639041,6.3858969193821835
154,3.7843545223295427,2.1202791146369266,6.756019572215198
155,3.810058849384675,-5.073218653138441,0.2616591048193371
156,3.834428914378319,-7.029612621824247,-6.142041642831783
157,3.858113900048079,-2.283421536038798,-6.6059365715326805
158,3.8838289652824263,5.146771429963354,-0.35798275745069397
159,3.9081615949188824,7.258291762180716,5.891453395506801
160,3.9318725983301634,2.443708550068397,6.449501169123508
161,3.957598916105524,-5.214509159292133,0.4552232767715809
162,3.9818944851033677,-7.478035557188299,-5.634951249451555
163,4.005630409013661,-2.60095761266433,-6.28747733865855
164,4.031368387947724,5.275918982399873,-0.5533965869114681
165,4.055627616082872,7.688177599258002,5.373384560811955
166,4.079387141352445,2.75500766215261,6.120668983852771
167,4.105137080289232,-5.330561359383599,0.6525180867849025
168,4.129361013514026,-7.888153532497366,-5.107613508216303
169,4.153142627295754,-2.9057207435794057,-5.949903778618324
170,4.178904713473246,5.378075940827048,-0.7526047039810413
171,4.203094697242105,8.07750731043448,4.838489530114
172,4.226896725907439,3.0529823277584267,5.7760167812526175
173,4.252671035064575,-5.418184725334466,0.8536773971248932
174,4.276828681194493,-8.255893321413847,-4.566836548011038
175,4.300649326735676,-3.1967004612384855,-5.599834541583955
176,4.3264358248723,5.45069247212726,-0.9557639155022333
177,4.350562973473059,8.423074554015034,4.293433761519029
178,4.374400352024497,3.336803938024616,5.422160331568712
179,4.400198898525471,-5.475484507211831,1.058901599776945
180,4.424297576622023,-8.578917188575407,-4.019000650028966
181,4.448149757743252,-3.4732397125929673,-5.2437610039598965
182,4.473960109595185,5.492522207257892,-1.1631400055413001
183,4.498032488039007,8.723382163307976,3.7441846341577723
184,4.521897533489361,3.60596977816303,5.065355836949728
185,4.547719350347999,-5.501836555235845,1.2685431504178153
186,4.571767700491836,-8.85651436608718,-3.469551658501474
187,4.595643701385887,-3.734967718893711,-4.88760757161276
188,4.621476551287158,5.503520229699945,-1.3751912208396435
189,4.6455032027021295,8.978430145139411,3.1955797744267462
190,4.669388314143312,3.860215115831223,4.711115707699438
191,4.6952316796862,-5.497718714792723,1.4831816201838683
192,4.71923897995838,-9.089303819732693,-2.922655642415046
193,4.743131452482402,-3.9816979505468444,-4.536412002280685
194,4.768984737343798,5.48462090490727,-1.5926292889522609
195,4.792975014725311,9.18935381631908,2.651073747479826
196,4.816873222122626,4.099403113230939,4.363958021092397
197,4.842735757791566,-5.464449634216019,1.7036662742497204
198,4.866711287222145,-9.278828969672292,-2.3810380327649763
199,4.890613750531094,-4.213315087975354,-4.194144526315355
200,4.916484803172241,5.437452496422407,-1.8164405654335396
201,4.940447775948974,9.357995425920091,2.1126656053089423
202,4.964353183604251,4.323412859928021,4.027292445804819
203,4.99023196097887,-5.403893243746039,1.931114242826379
204,5.014184458147179,-9.42712447720317,-1.8459921502970027
205,5.0380916824232,-4.42966706832162,-3.863655154011261
206,5.063977340811253,5.364043974914131,-2.047861005888041
207,5.087921310186122,9.486481555836487,1.5809786998516224
208,5.111829420187813,4.532037416274608,3.703421799272274
209,5.1377210712683565,-5.31817824663629,2.166863156771157
210,5.161658307873882,-9.536316526320496,-1.3175194324283481
211,5.185566579398368,-4.630470342153575,-3.5467214306361567
212,5.211463297057823,5.266565176456589,-2.288308116322395
213,5.235395426694333,9.576855340568866,1.05545022205091
214,5.259303349319191,4.724896957143957,3.3936277049369887
215,5.285204176368731,-5.209464549770627,2.4123845445025944
216,5.309132641976396,-9.608293067062283,-0.7945577064355476
217,5.333039923728375,-4.815231258307068,-3.244163987123281
218,5.358943878522725,5.147122901214032,-2.5392781282621937
219,5.382869929003926,9.630788268152411,0.5345886940508442
220,5.406776498932353,4.901368634621232,3.0983086902943984
221,5.432682581892377,-5.07977051031124,2.6691670894206805
222,5.4566072630764815,-9.644458679896143,-0.2752597780304997
223,5.480513272004053,-4.983184694226446,-2.956000733807644
224,5.5064204720543675,5.007619232076482,-2.802217455104015
225,5.530344619532402,9.649378143188802,0.016267066418024
226,5.554250439188633,5.060534453333137,2.817145026249294
227,5.580157740128512,-4.930861073543188,2.9385781254946894
228,5.604081973746329,-9.645574740688748,0.24270402873918817
229,5.627988194410973,-5.13325194009871,-2.6816179037448244
230,5.653894581241739,4.849667425135352,-3.0783757693883516
231,5.677819301113682,9.633030107970242,-0.501968977850193
232,5.701726727813874,5.201150279294545,2.5492724722860207
233,5.727631193048351,-4.764188859584431,3.2217095783315317
234,5.7515565770347505,-9.611679906330572,0.7618343179260516
235,5.775466224254833,-5.264022334766847,-2.419943815172317
236,5.801367774234199,4.674555419099259,-3.3686459156300583
237,5.825293776911054,9.58141546553949,-1.0225878554743502
238,5.849206861692219,5.321641995361009,2.2934540333434317
239,5.8751045229327366,-4.58087732229202,3.519212907672233
240,5.899030876166454,-9.542086624391825,1.2844889193810074
241,5.922948809398633,-5.3737661947443405,-2.1696170876636796
242,5.948841634985377,4.483246034746792,-3.6733950419179937
243,5.972767850305084,9.49350581204083,-1.5477587161118738
244,5.996692225950298,5.420137754818094,2.048243408739658
245,6.022579301987608,-4.381735660058125,3.8311278583490034
246,6.046504675017484,-9.435453420576916,1.8125708708327384
247,6.070437256956806,-5.460489134372045,-1.929144232554905
248,6.096317709076141,4.276404620740234,-3.9922928485349045
249,6.120241326345136,9.367684516046033,-2.079042278176785
250,6.1441840325157795,5.494547147459146,1.8121356103690731
251,6.170057032431521,-4.167297609708747,4.1567127076182935
252,6.193977780911877,-9.289936918128824,2.3472244333340253
253,6.217932664402057,-5.522038687948127,-1.6970420305994978
254,6.243797436495081,4.054447802111673,-4.324147117690877
255,6.26771401622807,9.201940645509717,-2.617095464911157
256,6.291683243030858,5.542697456572382,1.583699580778323
257,6.317539070928699,-3.9378793230716074,4.494289273707572
258,6.341450011069987,-9.10342867283751,2.888553141525142
259,6.365435834268377,-5.556271634059669,-1.4719585714415184
260,6.391282067379694,3.8176099682280658,-4.666763391914131
261,6.415185745932397,8.994148875675934,-3.1614091690910895
262,6.439190476200086,5.562532379349218,1.36168554336703
263,6.465026536149483,-3.693654169622784,4.841123461576473
264,6.488921203546946,-8.873876953347166,3.435385128912209
265,6.512947176004445,-5.561282957874774,-1.2527645872105309
266,6.538772562900984,3.5660261883511826,-5.016853508759699
267,6.56265636945271,8.742430019818007,-3.7101104209037956
268,6.5867059071146645,5.552368225773741,1.1450979220571904
269,6.612520205572416,-3.4347434967779087,5.193369630860626
270,6.636391232598643,-8.599680446242747,3.9851225643977974
271,6.660466606879475,-5.53568411811477,-1.0386057075406985
272,6.686269491690025,3.299830286958188,-5.370024027669096
273,6.710125785951066,8.445569434772242,-4.259870164611806
274,6.73422917495085,5.511186721123481,0.9332251024142542
275,6.760020416284832,-3.161321009280396,5.546111195124815
276,6.783860027073525,-8.280119713564522,4.533718771660963
277,6.80799347262746,-5.478900459453481,-0.8289086285048359
278,6.833772940614433,3.019263808719728,-5.720876359918991
279,6.85759395864211,8.103446680946812,-4.805959739875071
280,6.881759323362956,5.438924909433188,0.7256219487200388
281,6.907526991867368,-2.8737236895120564,5.893526118008264
282,6.931327588857468,-7.915767305769767,5.075822041556641
283,6.955526514605342,-5.39143976616473,-0.6233412154912887
284,6.981282463983357,2.72478520799819,-6.063241103196001
285,7.00506093171604,7.717406122543669,-5.342486809798066
286,7.029294801067148,5.33670755152448,0.5220501850759707
287,7.055039219659489,-2.5725544742325948,6.229190362675753
288,7.078794007107873,-7.508797751060578,5.605104193425482
289,7.103063909438922,-5.2750737520401145,-0.4217373169544416
290,7.128797093534731,2.4171602420328897,-6.390546968206736
291,7.15252684071691,7.290485521636874,-5.862811921706504
292,7.176833544456944,5.206964215152173,0.3223930809694462
293,7.2025558964602165,-2.2587538895027635,6.546504260474964
294,7.226259463711416,-7.063115991858887,6.114754817630861
295,7.25060339612961,-5.132879798558394,-0.22400767529364085
296,7.276315420679855,2.0975081400923443,-6.696292026901936
297,7.299991912226383,6.827429383795861,-6.36010438635106
298,7.324373147827499,5.05338844441115,0.12656931667332127
299,7.350075445674593,-1.9336144466661915,6.8391918644359775
300,7.37372422665494,-6.584246230293174,6.598077556074464
301,7.398142484861961,-4.969115019543632,-0.03006320525983952
302,7.42383574437308,1.767279052366515,-6.974550988755597
303,7.447456450780389,6.33445076925213,-6.827953671990479
304,7.471911103126958,4.88072940612687,-0.06552880263582406
305,7.497596089407543,-1.598717843058302,7.101793823012562
306,7.52118863079283,-6.078971839331318,7.049088940636869
